Category_Name,Subcategory_Name
Baby Food,
Baked Goods,Bakery
Baked Goods,Baking and Cooking
Baked Goods,Refrigerated Dough
Beverages,
"Condiments, Sauces & Canned Goods",
Dairy Products & Eggs,
Food Purchased Frozen,
"Grains, Beans & Pasta",
Meat,Fresh
Meat,Shelf Stable Foods
Meat,Smoked or Processed
Meat,Stuffed or Assembled
Poultry,Cooked or Processed
Poultry,Fresh
Poultry,Shelf Stable Foods
Poultry,Stuffed or Assembled
Produce,Fresh Fruits
Produce,Fresh Vegetables
Seafood,Fresh
Seafood,Shellfish
Seafood,Smoked
Shelf Stable Foods,
Vegetarian Proteins,
Deli & Prepared Foods,
